Version:,,,,,,
TriggerVersion:,v4,,,,,
0,0.03186888,-7.07,-4.8,0,0,0
0,0.03767789,-7.07,-4.8,0,0,0
0,0.03134786,-7.07,-4.8,0,0,0
0,0.01517131,-7.07,-4.8,0,0,0
0,0.03259188,-7.07,-4.8,0,0,0
0,0.03754699,-7.07,-4.8,0,0,0
0,0.0139664,-7.07,-4.8,0,0,0
0,0.03223656,-7.07,-4.8,0,0,0
0,0.03725091,-7.07,-4.8,357.1782,0,0
0,0.03177412,-7.07,-4.8,354.7713,0,0
0,0.03364775,-7.07,-4.8,352.2225,0,0
0,0.03361632,-7.07,-4.8,349.676,0,0
0,0.03349774,-7.07,-4.8,347.1385,0,0
0,0.04745864,-7.07,-4.8,343.5435,0,0
0,0.01975481,-7.07,-4.8,342.0471,0,0
0,0.03214784,-7.07,-4.8,339.6119,0,0
0,0.03339937,-7.07,-4.8,337.0819,0,0
0,0.033391,-7.07,-4.8,334.5525,0,0
0,0.03325165,-7.07,-4.8,332.0337,0,0
0,0.03523122,-7.07,-4.8,329.3649,0,0
0,0.03276747,-7.07,-4.8,326.8827,0,0
0,0.03225811,-7.07,-4.8,324.4391,0,0
0,0.03378396,-7.07,-4.8,321.88,0,0
0,0.03308341,-7.07,-4.8,319.3739,0,0
0,0.01530188,-7.07,-4.8,318.2148,0,0
0,0.03173398,-7.07,-4.8,315.8109,0,0
0,0.03755988,-7.07,-4.8,312.9657,0,0
0,0.03194411,-7.07,-4.8,310.546,0,0
0,0.03396531,-7.07,-4.8,307.9731,0,0
0,0.03221971,-7.07,-4.8,305.5324,0,0
0,0.03387702,-7.07,-4.8,302.9662,0,0
0,0.01463074,-7.07,-4.8,301.8579,0,0
0,0.03255704,-7.07,-4.8,301.8579,0,0
0,0.03801807,-7.07,-4.8,301.8579,0,0
0,0.01360476,-7.07,-4.8,301.8579,0,0
0,0.03423621,-7.07,-4.8,301.8579,0,0
0,0.0360173,-7.07,-4.8,301.8579,0,0
0,0.03082111,-7.07,-4.8,301.8579,0,0
