Version: Taxi Continuous/Discontinuous v4.1.8942.21304
TriggerVersion: v4
TaskType: Continuous
MazeName: Open Maze MD2
NumberOfTrials: 120
PosterLocations: 
CompletionWindow: 100000
TimeoutDuration: 1000
IntersessionInterval: 1000
RewardTime: 1000
RewardViewCriteria: 45
RotationSpeed: 102.8615
MovementSpeed: 7.501485
JoystickDeadzone: 0
AngleRestrictionAmount: 0
RequiredDistance: 1
ProximityDistance: 1
DirectionErrorDistance: 0.5
isJoystickEnabled: False
isReverseEnabled: True
isForwardEnabled: True
isRightEnabled: True
isLeftEnabled: True
isYInverted: False
isXInverted: False
RestartOnTrialFail: False
ResetPositionOnTrial: False
FaceRandomDirectionOnStart: False
MultipleWaypoints: False
DisableInterSessionBlackout: True
ResetPositionOnSession: False
EnableDirectionError: False
DisableHint: False
EnableRewardAreaError: False
RewardAreaErrorTime: -1
--- Start of Dataset --- 
 0 0.01660301 -0.7399 4.2593 58.3243
 0 0.01679785 -0.6327 4.3254 58.3243
 0 0.01649016 -0.5274 4.3904 58.3243
 0 0.01681586 -0.4200 4.4566 58.3243
 0 0.01669034 -0.3135 4.5224 58.3243
 0 0.01595852 -0.2116 4.5852 58.3243
 0 0.01736242 -0.1008 4.6536 58.3243
 0 0.01662274 0.0054 4.7191 58.3243
 0 0.01624985 0.1091 4.7831 58.3243
 0 0.01703336 0.2178 4.8502 58.3243
 0 0.01637748 0.3224 4.9147 58.3243
 0 0.01731534 0.4329 4.9829 58.3243
 0 0.01676465 0.5379 5.0522 56.5999
 0 0.01641655 0.6387 5.1230 54.9113
 0 0.01658207 0.7383 5.1975 53.2056
 0 0.01681615 0.8370 5.2760 51.4759
 0 0.01675470 0.9329 5.3572 49.7525
 0 0.01677890 0.9329 5.3572 48.0266
 0 0.01660075 0.9329 5.3572 48.0266
 0 0.01637599 0.9329 5.3572 48.0266
 0 0.01673603 0.9329 5.3572 48.0266
 0 0.01645524 0.9329 5.3572 48.0266
 0 0.01686345 0.9329 5.3572 48.0266
 0 0.01668542 0.9329 5.3572 48.0266
 0 0.01663471 0.9329 5.3572 48.0266
 0 0.01653715 0.9329 5.3572 48.0266
 0 0.01684011 0.9329 5.3572 48.0266
 0 0.01650018 0.9329 5.3572 48.0266
 0 0.01702994 0.9329 5.3572 48.0266
 0 0.01642649 0.9329 5.3572 48.0266
 0 0.01673589 0.9329 5.3572 48.0266
 0 0.01663026 0.9329 5.3572 48.0266
 0 0.01664029 0.9329 5.3572 48.0266
 0 0.01691541 0.9329 5.3572 48.0266
 0 0.01662333 0.9329 5.3572 48.0266
 0 0.01633673 0.9329 5.3572 48.0266
 0 0.01669986 0.9329 5.3572 48.0266
 0 0.01686641 0.9329 5.3572 48.0266
 0 0.01664244 0.9329 5.3572 48.0266
 0 0.01681108 0.9329 5.3572 48.0266
 0 0.01650004 0.9329 5.3572 48.0266
 0 0.01668459 0.9329 5.3572 48.0266
 0 0.01676985 0.9329 5.3572 48.0266
 0 0.01655014 0.9329 5.3572 48.0266
 0 0.01683535 0.9329 5.3572 48.0266
 0 0.01657578 0.9329 5.3572 48.0266
 0 0.01671989 0.9329 5.3572 48.0266
 0 0.01668634 0.9329 5.3572 48.0266
 0 0.01672634 0.9329 5.3572 48.0266
 0 0.01669520 0.9329 5.3572 48.0266
 0 0.01655643 0.9329 5.3572 48.0266
 0 0.01683701 0.9329 5.3572 48.0266
 0 0.01649026 0.9329 5.3572 48.0266
 0 0.01665942 0.9329 5.3572 48.0266
 0 0.01662410 0.9329 5.3572 48.0266
 0 0.01683445 0.9329 5.3572 48.0266
 0 0.01682809 0.9329 5.3572 48.0266
 0 0.01658233 0.9329 5.3572 48.0266
 0 0.01679963 0.9329 5.3572 48.0266
 0 0.01642302 0.9329 5.3572 48.0266
 0 0.01674648 0.9329 5.3572 48.0266
 0 0.01683416 0.9329 5.3572 48.0266
 0 0.01663224 0.9329 5.3572 48.0266
 0 0.01695294 0.9329 5.3572 46.2828
 0 0.01666059 0.9329 5.3572 44.5690
 0 0.01650817 0.9329 5.3572 42.8710
 0 0.01676791 0.9329 5.3572 41.1462
 0 0.01670695 0.9329 5.3572 39.4277
 0 0.01671318 0.9329 5.3572 37.7086
 0 0.01664744 0.9329 5.3572 35.9962
