Version:,Taxi,Continuous/Discontinuous,v4.1.8941.20741,
0,0.0167375,1.8623,7.1561,31.4827
0,0.01656417,1.8623,7.1561,31.4827
0,0.01680345,1.8623,7.1561,31.4827
0,0.01671397,1.8623,7.1561,31.4827
0,0.01657565,1.8623,7.1561,31.4827
0,0.01691051,1.8623,7.1561,31.4827
0,0.016517,1.8623,7.1561,31.4827
0,0.01660113,1.8623,7.1561,31.4827
0,0.01697835,1.8623,7.1561,31.4827
0,0.01641608,1.8623,7.1561,31.4827
0,0.01661657,1.8623,7.1561,31.4827
0,0.01682295,1.8623,7.1561,31.4827
0,0.01666662,1.8623,7.1561,31.4827
0,0.01645971,1.8623,7.1561,31.4827
21,0.01674187,1.8623,7.1561,31.4827
0,0.01701461,1.8623,7.1561,31.4827
0,0.01647232,1.8623,7.1561,31.4827
0,0.01678442,1.8623,7.1561,31.4827
0,0.01650836,1.8623,7.1561,31.4827
0,0.0165943,1.8623,7.1561,31.4827
0,0.01684683,1.8623,7.1561,31.4827
0,0.01655136,1.8623,7.1561,31.4827
0,0.01682838,1.8623,7.1561,31.4827
0,0.01659114,1.8623,7.1561,31.4827
0,0.01687994,1.8623,7.1561,31.4827
0,0.01650801,1.8623,7.1561,31.4827
0,0.01661826,1.8623,7.1561,31.4827
0,0.01681899,1.8623,7.1561,31.4827
0,0.01656292,1.8623,7.1561,31.4827
0,0.01679651,1.8623,7.1561,31.4827
0,0.01649292,1.8623,7.1561,31.4827
0,0.01680662,1.8623,7.1561,31.4827
0,0.01659543,1.8623,7.1561,31.4827
0,0.01679527,1.8623,7.1561,31.4827
0,0.01660926,1.8623,7.1561,31.4827
0,0.01669776,1.8623,7.1561,31.4827
0,0.01670189,1.8623,7.1561,31.4827
0,0.01652038,1.8623,7.1561,31.4827
0,0.01618356,1.8623,7.1561,31.4827
0,0.0167006,1.8623,7.1561,31.4827
0,0.01661926,1.8623,7.1561,31.4827
0,0.01673678,1.8623,7.1561,31.4827
0,0.0169157,1.8623,7.1561,29.7086
0,0.01673595,1.8623,7.1561,27.9534
0,0.01679762,1.8623,7.1561,26.1917
0,0.0166934,1.8623,7.1561,24.441
0,0.01663325,1.8623,7.1561,22.6965
0,0.0165791,1.8623,7.1561,20.9577
0,0.01658212,1.8623,7.1561,19.2187
0,0.01670155,1.8623,7.1561,17.467
0,0.0167018,1.8623,7.1561,15.7154
0,0.01659786,1.8623,7.1561,13.9747
0,0.01682288,1.8623,7.1561,12.2103
0,0.01657504,1.8623,7.1561,10.472
0,0.01674129,1.8623,7.1561,8.7162
0,0.01656135,1.8623,7.1561,6.9793
0,0.01700783,1.8623,7.1561,5.1955
