Version:,Taxi,Continuous/Discontinuous,v4.1.8942.21304,,,
0,0.01646624,-7.07,-4.8,0,0,0
0,0.01657403,-7.07,-4.8,0,0,0
0,0.01708703,-7.07,-4.8,0,0,0
0,0.01663512,-7.07,-4.8,0,0,0
0,0.01637821,-7.07,-4.8,0,0,0
0,0.01661064,-7.07,-4.8,0,0,0
0,0.01680986,-7.07,-4.8,0,0,0
0,0.01669019,-7.07,-4.8,0,0,0
0,0.01667833,-7.07,-4.8,0,0,0
0,0.01687002,-7.07,-4.8,0,0,0
0,0.01662721,-7.07,-4.8,0,0,0
0,0.01670315,-7.07,-4.8,0,0,0
0,0.01644435,-7.07,-4.8,0,0,0
0,0.01685269,-7.07,-4.8,0,0,0
0,0.01661637,-7.07,-4.8,0,0,0
0,0.01678041,-7.07,-4.8,0,0,0
0,0.01643013,-7.07,-4.8,0,0,0
0,0.01699083,-7.07,-4.8,0,0,0
0,0.01639281,-7.07,-4.8,0,0,0
0,0.01670514,-7.07,-4.8,0,0,0
0,0.01670204,-7.07,-4.8,0,0,0
0,0.01672148,-7.07,-4.8,0,0,0
0,0.01686472,-7.07,-4.8,0,0,0
0,0.0164051,-7.07,-4.8,0,0,0
0,0.01678945,-7.07,-4.8,0,0,0
0,0.01661975,-7.07,-4.8,0,0,0
0,0.01670719,-7.07,-4.8,0,0,0
0,0.01683335,-7.07,-4.8,0,0,0
0,0.01655378,-7.07,-4.8,0,0,0
0,0.01675511,-7.07,-4.8,0,0,0
0,0.01655445,-7.07,-4.8,0,0,0
0,0.0168517,-7.07,-4.8,0,0,0
0,0.01690369,-7.07,-4.8,0,0,0
0,0.01641624,-7.07,-4.8,0,0,0
0,0.01661005,-7.07,-4.8,0,0,0
0,0.01682023,-7.07,-4.8,0,0,0
0,0.01649894,-7.07,-4.8,0,0,0
0,0.01686443,-7.07,-4.8,0,0,0
0,0.0166654,-7.07,-4.8,0,0,0
0,0.01658122,-7.07,-4.8,0,0,0
0,0.01656029,-7.07,-4.8,0,0,0
0,0.01680928,-7.07,-4.8,0,0,0
0,0.01678563,-7.07,-4.8,0,0,0
0,0.01650848,-7.07,-4.8,0,0,0
0,0.01675372,-7.07,-4.8,0,0,0
0,0.01656095,-7.07,-4.8,0,0,0
0,0.01681551,-7.07,-4.8,0,0,0
0,0.01652048,-7.07,-4.8,0,0,0
0,0.01703058,-7.07,-4.8,0,0,0
0,0.01644618,-7.07,-4.8,0,0,0
0,0.01670728,-7.07,-4.8,0,0,0
0,0.01649429,-7.07,-4.8,0,0,0
0,0.01682543,-7.07,-4.8,0,0,0
0,0.01700439,-7.07,-4.8,0,0,0
25,0.01634583,-7.07,-4.8,0,5,2
0,0.01675696,-7.07,-4.8,0,0,0
0,0.01657807,-7.07,-3.8636,0,0,0
0,0.0169657,-7.07,-3.8212,0,0,0
0,0.01693469,-7.07,-3.7789,0,0,0
0,0.01619801,-7.07,-3.7384,0,0,0
0,0.01686133,-7.07,-3.6962,0,0,0
0,0.01668339,-7.07,-3.6545,0,0,0
0,0.0169065,-7.07,-3.6123,0,0,0
0,0.01650565,-7.07,-3.571,0,0,0
0,0.01673055,-7.0713,-3.5292,358.2791,0,0
0,0.01662764,-7.0737,-3.4877,356.5687,0,0
0,0.01655339,-7.0774,-3.4465,354.866,0,0
0,0.01678974,-7.0825,-3.4048,353.139,0,0
0,0.01669154,-7.0887,-3.3636,351.4221,0,0
0,0.01676225,-7.0962,-3.3224,349.6979,0,0
0,0.01662554,-7.1036,-3.2815,349.6979,0,0
0,0.01661383,-7.111,-3.2406,349.6979,0,0
0,0.01658756,-7.1185,-3.1998,349.6979,0,0
0,0.01679525,-7.126,-3.1585,349.6979,0,0
0,0.01662212,-7.1334,-3.1176,349.6979,0,0
0,0.01670942,-7.1409,-3.0765,349.6979,0,0
0,0.01670032,-7.1483,-3.0355,349.6979,0,0
0,0.01686898,-7.1559,-2.994,349.6979,0,0
0,0.01648873,-7.1632,-2.9534,349.6979,0,0
0,0.01683353,-7.1708,-2.912,349.6979,0,0
0,0.01634906,-7.1781,-2.8718,349.6979,0,0
0,0.01668309,-7.1855,-2.8308,349.6979,0,0
0,0.0167578,-7.193,-2.7896,349.6979,0,0
0,0.01671625,-7.2005,-2.7485,349.6979,0,0
0,0.016705,-7.208,-2.7074,349.6979,0,0
0,0.0166776,-7.2154,-2.6664,349.6979,0,0
0,0.01672285,-7.2229,-2.6253,349.6979,0,0
0,0.01656457,-7.2303,-2.5845,349.6979,0,0
0,0.0167424,-7.2378,-2.5433,349.6979,0,0
0,0.0166734,-7.2452,-2.5023,349.6979,0,0
0,0.0167301,-7.2527,-2.4612,349.6979,0,0
0,0.01670554,-7.2602,-2.4201,349.6979,0,0
0,0.01673408,-7.2677,-2.3789,349.6979,0,0
0,0.01651279,-7.275,-2.3383,349.6979,0,0
0,0.01673155,-7.2825,-2.2972,349.6979,0,0
0,0.01684286,-7.2901,-2.2558,349.6979,0,0
0,0.01642044,-7.2974,-2.2154,349.6979,0,0
0,0.01694859,-7.305,-2.1737,349.6979,0,0
0,0.01658624,-7.3124,-2.1329,349.6979,0,0
0,0.01658264,-7.3198,-2.0921,349.6979,0,0
0,0.01662664,-7.3272,-2.0512,349.6979,0,0
0,0.01680649,-7.3347,-2.0099,349.6979,0,0
0,0.01660693,-7.3422,-1.9691,349.6979,0,0
0,0.01678862,-7.3497,-1.9278,349.6979,0,0
0,0.01660063,-7.3571,-1.8869,349.6979,0,0
0,0.01670617,-7.3646,-1.8459,349.6979,0,0
0,0.01686808,-7.3721,-1.8044,349.6979,0,0
0,0.01650373,-7.3795,-1.7638,349.6979,0,0
0,0.0166788,-7.3869,-1.7228,349.6979,0,0
0,0.01664247,-7.3944,-1.6818,349.6979,0,0
0,0.0166641,-7.4018,-1.6409,349.6979,0,0
0,0.01672455,-7.4093,-1.5997,349.6979,0,0
0,0.01643882,-7.4166,-1.5593,349.6979,0,0
0,0.01688364,-7.4242,-1.5178,349.6979,0,0
0,0.01669038,-7.4317,-1.4767,349.6979,0,0
0,0.01669553,-7.4391,-1.4357,349.6979,0,0
0,0.01689323,-7.4467,-1.3941,349.6979,0,0
