Version: Taxi Continuous/Discontinuous v4.1.8942.21304
TriggerVersion: v4
TaskType: Discontinuous
MazeName: Open Maze MD2
NumberOfTrials: 1
PosterLocations: 
CompletionWindow: 100000
TimeoutDuration: 1000
IntersessionInterval: 1000
RewardTime: 1000
RewardViewCriteria: 45
RotationSpeed: 104.3357
MovementSpeed: 5
JoystickDeadzone: 0
AngleRestrictionAmount: 0
RequiredDistance: 1
ProximityDistance: 1
DirectionErrorDistance: 0.5
isJoystickEnabled: False
isReverseEnabled: True
isForwardEnabled: True
isRightEnabled: True
isLeftEnabled: True
isYInverted: False
isXInverted: False
RestartOnTrialFail: False
ResetPositionOnTrial: True
FaceRandomDirectionOnStart: False
MultipleWaypoints: False
DisableInterSessionBlackout: True
ResetPositionOnSession: False
EnableDirectionError: False
DisableHint: False
EnableRewardAreaError: False
RewardAreaErrorTime: -1
--- Start of Dataset --- 
 0 0.01688868 -7.0700 -4.8000 0.0000
 0 0.01639036 -7.0700 -4.8000 0.0000
 0 0.01683738 -7.0700 -4.8000 0.0000
 0 0.01651558 -7.0700 -4.8000 0.0000
 0 0.01685313 -7.0700 -4.8000 0.0000
 0 0.01674799 -7.0700 -4.8000 0.0000
 0 0.01666998 -7.0700 -4.8000 0.0000
 0 0.01663364 -7.0700 -4.8000 0.0000
 0 0.01670183 -7.0700 -4.8000 0.0000
 0 0.01659010 -7.0700 -4.8000 0.0000
 0 0.01678740 -7.0700 -4.8000 0.0000
 0 0.01682015 -7.0700 -4.8000 0.0000
 0 0.01646177 -7.0700 -4.8000 0.0000
 0 0.01664909 -7.0700 -4.8000 0.0000
 0 0.01675726 -7.0700 -4.8000 0.0000
 0 0.01668483 -7.0700 -4.8000 0.0000
 0 0.01661818 -7.0700 -4.8000 0.0000
 0 0.01673405 -7.0700 -4.8000 0.0000
 0 0.01653437 -7.0700 -4.8000 0.0000
 0 0.01683446 -7.0700 -4.8000 0.0000
 0 0.01681956 -7.0700 -4.8000 0.0000
 0 0.01664461 -7.0700 -4.8000 0.0000
 0 0.01660909 -7.0700 -4.8000 0.0000
 0 0.01668165 -7.0700 -4.8000 0.0000
 0 0.01669433 -7.0700 -4.8000 0.0000
 0 0.01639550 -7.0700 -4.8000 0.0000
 0 0.01699025 -7.0700 -4.8000 0.0000
 0 0.01670923 -7.0700 -4.8000 0.0000
 0 0.01646240 -7.0700 -4.8000 0.0000
 0 0.01689460 -7.0700 -4.8000 0.0000
 0 0.01673425 -7.0700 -4.8000 0.0000
 0 0.01650945 -7.0700 -4.8000 0.0000
 0 0.01671211 -7.0700 -4.8000 0.0000
 0 0.01689174 -7.0700 -4.8000 0.0000
 0 0.01669533 -7.0700 -4.8000 0.0000
 0 0.01642721 -7.0700 -4.8000 0.0000
 0 0.01676340 -7.0700 -4.8000 0.0000
 0 0.01665273 -7.0700 -4.8000 0.0000
 0 0.01650599 -7.0700 -4.8000 0.0000
 0 0.01693110 -7.0700 -4.8000 0.0000
 0 0.01627582 -7.0700 -4.8000 0.0000
 0 0.01695779 -7.0700 -4.8000 0.0000
 0 0.01665266 -7.0700 -4.8000 0.0000
 0 0.01677511 -7.0700 -4.8000 0.0000
 0 0.01677937 -7.0700 -4.8000 0.0000
 0 0.01657256 -7.0700 -4.8000 0.0000
 0 0.01654864 -7.0700 -4.8000 0.0000
 0 0.01704131 -7.0700 -4.8000 0.0000
 0 0.01649401 -7.0700 -4.8000 0.0000
 0 0.01657635 -7.0700 -4.8000 0.0000
 0 0.01650745 -7.0700 -4.8000 0.0000
 0 0.01682994 -7.0700 -4.8000 0.0000
 0 0.01688462 -7.0700 -4.8000 0.0000
 0 0.01648734 -7.0700 -4.8000 0.0000
 0 0.01682983 -7.0700 -4.8000 0.0000
 0 0.01670630 -7.0700 -4.8000 0.0000
 0 0.01647822 -7.0700 -4.8000 0.0000
 0 0.01641502 -7.0700 -4.8000 0.0000
 0 0.01627593 -7.0700 -4.8000 0.0000
 0 0.01790025 -7.0700 -4.8000 0.0000
 0 0.01653960 -7.0700 -4.8000 0.0000
 0 0.01658669 -7.0700 -4.8000 0.0000
 0 0.01676409 -7.0700 -4.8000 0.0000
 0 0.01630544 -7.0700 -4.8000 0.0000
 0 0.01705212 -7.0700 -4.8000 0.0000
 0 0.01659678 -7.0700 -4.8000 0.0000
 0 0.01647876 -7.0700 -4.8000 0.0000
 23 0.01679967 -7.0700 -4.8000 0.0000
 0 0.01676019 -7.0700 -4.8000 0.0000
 0 0.01641109 -7.0700 -4.8000 0.0000
 0 0.01669490 -7.0700 -4.8000 0.0000
 0 0.01719896 -7.0700 -4.8000 0.0000
 0 0.01620682 -7.0700 -4.8000 0.0000
 0 0.01689767 -7.0700 -4.8000 0.0000
 0 0.01630722 -7.0700 -4.8000 0.0000
 0 0.01677490 -7.0700 -4.8000 0.0000
 0 0.01664406 -7.0700 -4.8000 0.0000
 0 0.01681387 -7.0700 -4.8000 0.0000
 0 0.01662499 -7.0700 -4.8000 0.0000
 0 0.01664509 -7.0700 -4.8000 0.0000
 0 0.01628191 -7.0700 -4.8000 0.0000
 0 0.01639347 -7.0700 -4.8000 0.0000
 0 0.01673696 -7.0700 -4.8000 0.0000
 0 0.01713207 -7.0700 -4.8000 0.0000
 0 0.01698563 -7.0700 -4.8000 0.0000
 0 0.01659618 -7.0700 -4.8000 0.0000
